Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable URL|Gender|Full Sentence|osm_feature_found
Dresdais|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328||certain|3|1604|Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania|Friedrich I. von Württemberg|1580|Seite(n)155-156|29|https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|HAB Wolfenbüttel|https://reise.isgv.de/logs/Q109943966|male|23] Iter Egra, Dresdais etjumpare exam不是 replaces the verb et intervals itinera Egram exam Iter Argentor.|False
Dresdam|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328||certain|3|1604|Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania|Friedrich I. von Württemberg|1580|Seite(n)155-156|29|https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|HAB Wolfenbüttel|https://reise.isgv.de/logs/Q109943966|male|Dresdam, Dantiscum & & Montem Region.|False
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|0.13293315314514328||certain|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male|Dresden.|False
Schloss und Vestung|https://de.wikipedia.org/wiki/Schloss_Dresden|51.1675274|13.6795084|Schloss Moritzburg|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|13.63459838511828|Schloß und Vestung|certain|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male|Den 19. Mai kamen Ihre F. G. zu Dresden an/ zogen in der Herberg zum gulden Ring ein/ verharreten auch bis auff den 25. In solcher Zeit dann Ihre F. G. die Statt/ Schloß und Vestung/ Rustkammer/ Zeug- häuser/ Marßall/ Garten/ sammt anderen singularis- ten besehn/ Wurden auch von dem ChurFürsten Au- gusto Fürstlich empfangen.|False
Rustkammer|https://de.wikipedia.org/wiki/Dresdner_Rüstkammer|51.0525437|13.7374376|Rustkammer|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|0.238562861861314||certain|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male|Den 19. Mai kamen Ihre F. G. zu Dresden an/ zogen in der Herberg zum gulden Ring ein/ verharreten auch bis auff den 25. In solcher Zeit dann Ihre F. G. die Statt/ Schloß und Vestung/ Rustkammer/ Zeug- häuser/ Marßall/ Garten/ sammt anderen singularis- ten besehn/ Wurden auch von dem ChurFürsten Au- gusto Fürstlich empfangen.|False
DRESSDAM|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|0.13293315314514328||certain|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male|285 Aliud iter FRANCOFVRTV M ad Oderam, per FREIBERGAM, DRESSDAM, indeque FRANCOFVRTVM ad Oderam, & COSTLINVM.|False
Raddeburg|https://de.wikipedia.org/wiki/Radeburg|51.1151413|13.9175257|Radeberg|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|14.502144229515732||certain|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male|O. Raddeburg 2. O. Ortrandt 2. O. Rulant 2. Serfsteberg 1. Salgast 2. O. Finsterwald 2: O. Sonnevald 1. O. Calau 2. O. Luben 2. Biberstorff 1. Auffm Sand 14. Zurf fehre ½. Beskoff 1. Mertensdorff 1. Mulrase ]} O. Fräckfort an der Oder 2. Simul 24. FRANCFOR医疗机构NDIA ad Oderam vulgo Francfor医疗机构NDIA ad Oderam vulgo Francoft fand der더 Oder/ftu excellit.|False
Alt Dresen|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|51.049818|13.6989222|Alt Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|2.68345501748464||certain|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male|387 das man sie Dresen nennen solle, von den dreyen Seen, die noch heitrig tags vbrig seyn; In den Historien werde dieser ort Nifle oder Nile genant; vnnd habe es das anschien, dal Dresen von den Wenden erbawt worden sese: Er erhalt aber von Petro Dresdensi, so zum zeiten des Hussitenkrieges gelebt, vnnd das Gastung in dulci jubilo, und andere solche gemacht haben: Item wie die Hussiten Anno 1429. Alt Dresen gebu delt uvmd verbrennt: Mauritius habe beide Stæte Alt und Newe Dresden unter ein Regimentform gebracht, also dass sie voneinrck Rath regierten werden, vnnd sich eines Sigils gebraucht ammon: Anno 1580. sesep das Geistliche Consistorium von Miereis auf Dresen gelege worden: Anno 1588. hab man zu Dresen Musysterung gehalten, vnnd zwar in Alt Dresen 423; in der Newen 1045. gesungen.|False
Newe Dresden|https://de.wikipedia.org/wiki/Neustadt_(Dresden)|51.0481142|13.7401486|Neues Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.3228827949294987||certain|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male|387 das man sie Dresen nennen solle, von den dreyen Seen, die noch heitrig tags vbrig seyn; In den Historien werde dieser ort Nifle oder Nile genant; vnnd habe es das anschien, dal Dresen von den Wenden erbawt worden sese: Er erhalt aber von Petro Dresdensi, so zum zeiten des Hussitenkrieges gelebt, vnnd das Gastung in dulci jubilo, und andere solche gemacht haben: Item wie die Hussiten Anno 1429. Alt Dresen gebu delt uvmd verbrennt: Mauritius habe beide Stæte Alt und Newe Dresden unter ein Regimentform gebracht, also dass sie voneinrck Rath regierten werden, vnnd sich eines Sigils gebraucht ammon: Anno 1580. sesep das Geistliche Consistorium von Miereis auf Dresen gelege worden: Anno 1588. hab man zu Dresen Musysterung gehalten, vnnd zwar in Alt Dresen 423; in der Newen 1045. gesungen.|False
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.13293315314514328||certain|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male|Wir besachen auch den folgenden tags das Pro vizianearl coaln thusn Décаютсяat in der Maltert Dresden das frendewarte Jägerhaus zu dem ane看了一ene von divisionsden Granden von Mensier Caum mit den ungezeit guugen ain dem nacian Statden报纸 Herdemel Mie Wagen zu mit die Der Fell水域 und der Wege sitzte.|False
